2025-09-04 15:10:12,123 [ERROR] error_threshold = 5.0 must be an int for service1
2025-09-04 15:10:12,123 [INFO] ./generated_logs/service1.log exists,safe to proceed for this service1
2025-09-04 15:10:12,123 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:14:44,807 [ERROR] error_threshold = 5.0 must be an int for service1
2025-09-05 14:14:44,807 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:15:26,726 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:16:46,846 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:24:56,691 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:57:58,945 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:58:20,801 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:58:20,801 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:59:48,215 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 14:59:48,215 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:00:03,599 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:00:17,760 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:00:17,760 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:01:28,546 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:02:41,341 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:03:00,203 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:06:31,206 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:07:03,841 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-05 15:19:43,709 [INFO] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 10:51:41,602 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:24:02,751 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:24:33,440 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:24:33,441 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:27:16,696 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:27:16,697 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:30:26,937 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:30:26,937 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:32:06,838 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:32:06,839 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:49:52,077 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:49:52,077 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:51:04,564 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:51:04,564 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:51:31,307 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:51:31,307 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:52:46,103 [ERROR] ./logs/service2.log doesn't exists, for this service service2
2025-09-08 11:52:46,104 [ERROR] ./logs/service2.log doesn't exists, for this service service2
